barcode,control symbol,title,series,series title,contents dates,contents start year,contents end year,access status,access decision reasons,access decision date
1510518,519/3/1/8 PART 2,Formosa - Correspondence to the Minister,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1976 - 1977,1976,1977,Closed,Withheld pending adv,2016-04-19 00:00:00
1511132,3107/40/87 PART 29,China - Relations with Japan,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1978 - 1978,1978,1978,Closed,Withheld pending adv,2016-04-19 00:00:00
1511256,3107/16/6 PART 12,China - Fifth five year plan,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1980 - 1980,1980,1980,Closed,Withheld pending adv,2016-04-19 00:00:00
1700908,250/10/4/3 PART 33,USA - Relations with China,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1980 - 1980,1980,1980,Closed,Withheld pending adv,2016-04-19 00:00:00
1702114,250/10/7/9 PART 34,USA - Relations with Indo China,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1978 - 1980,1978,1980,Closed,Withheld pending adv,2016-04-19 00:00:00
1728812,48/1/3 PART 6,Poland - Relations with Australia,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1975 - 1977,1975,1977,Closed,Withheld pending adv,2016-04-19 00:00:00
1744958,181/15 PART 29,Middle East - Palestine Liberation Organisation,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1981 - 1981,1981,1981,Closed,Withheld pending adv,2016-04-19 00:00:00
1744969,181/15 PART 37,Middle East - Palestine Liberation Organisation,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1983 - 1983,1983,1983,Closed,Withheld pending adv,2016-04-19 00:00:00
1745199,73/1/3/13 PART 14,Yugoslavia - Foreign policy - Extremism - General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1977 - 1978,1977,1978,Closed,Withheld pending adv,2016-04-19 00:00:00
3338491,1558/1/44 PART 28,International Court of Justice - Advisory opinions French Nuclear tests Australia vs France,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1973 - 1973,1973,1973,Closed,Withheld pending adv,2016-04-19 00:00:00
3338493,1558/1/44 PART 30,International Court of Justice - Advisory opinions French Nuclear tests Australia vs France,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1973 - 1973,1973,1973,Closed,Withheld pending adv,2016-04-19 00:00:00
3338497,1558/1/44 PART 33,International Court of Justice - Advisory opinions French Nuclear tests Australia vs France,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1973 - 1973,1973,1973,Closed,Withheld pending adv,2016-04-19 00:00:00
552251,766/3/4 PART 10,China - Economic Relations with Japan,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1972 - 1974,1972,1974,Closed,Withheld pending adv,2016-04-19 00:00:00
585161,1500/1/24/2/2 PART 1,Diplomatic Representatives in Australia Protection of Diplomatic & Consular Premises Yugoslav Embassy Canberra and Consulate General Sydney,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1966 - 1969,1966,1969,Closed,Withheld pending adv,2016-04-19 00:00:00
546444,919/13/4 PART 34,France - Disarmament - Nuclear Weapons Testing,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1972 - 1972,1972,1972,Closed,Withheld pending adv,2016-04-19 00:00:00
548299,3123/2 PART 10,Korea - Consideration of Korean Question by General Assembly,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1971 - 1972,1971,1972,Closed,Withheld pending adv,2016-04-19 00:00:00
589048,169/11/52 PART 13,India - Relations with USSR,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1971 - 1972,1971,1972,Closed,Withheld pending adv,2016-04-19 00:00:00
587944,73/1/3 PART 16,Yugoslavia - Relations with Australia,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1971 - 1972,1971,1972,Closed,Withheld pending adv,2016-04-19 00:00:00
589830,186/11/8 PART 9,Pakistan - Relations with Afghanistan,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1974 - 1975,1974,1975,Closed,Withheld pending adv,2016-04-19 00:00:00
1513710,3125/2/1 PART 16,North Korea - Political,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1981 - 1981,1981,1981,Closed,Withheld pending adv,2016-04-20 00:00:00
1746859,190/2/1 PART 95,Zimbabwe - Political - General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1983 - 1983,1983,1983,Closed,33(1)(a) | 33(1)(d) | Withheld pending adv,2016-04-27 00:00:00
3336980,1490/17/8 PART 1,Legal aspects of Papua New Guinea Independence - Papua New Guinea Bouganville,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1975 - 1975,1975,1975,Closed,Withheld pending adv,2016-04-27 00:00:00
1747853,169/11/87 PART 38,India - Relations with China,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1978 - 1979,1978,1979,Closed,Withheld pending adv,2016-05-03 00:00:00
1511659,3107/40/147 PART 17,China - Relations with India,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1963 - 1963,1963,1963,Closed,Withheld pending adv,2016-05-03 00:00:00
1761610,720/5/18 PART 5,Atomic Energy Agency - Israel - Relations with Australia,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1986 - 1987,1986,1987,Closed,MAKE YOUR SELECTION | Withheld pending adv,2016-05-03 00:00:00
1872981,155/21/1 PART 17,Africa - General - Indian Ocean - Political,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1983 - 1983,1983,1983,Closed,Withheld pending adv,2016-05-03 00:00:00
1513711,3125/2/1 PART 17,North Korea - Political,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1981 - 1983,1981,1983,Closed,Withheld pending adv,2016-05-03 00:00:00
548360,3125/11/52 PART 2,Korea - Foreign Policy - North Korea - Relations with USSR,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1965 - 1970,1965,1970,Closed,MAKE YOUR SELECTION | Withheld pending adv,2016-05-03 00:00:00
1511140,3107/40/87 PART 34,China - Relations with Japan,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1979 - 1980,1979,1980,Closed,Withheld pending adv,2016-05-04 00:00:00
1389857,319/1/3 PART 20,Gilbert and Ellice Islands - Colony resettlement of population Banabans Rabi,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1978 - 1978,1978,1978,Closed,Withheld pending adv,2016-05-04 00:00:00
1505725,3038/2/1 PART 33,Portuguese Timor - Political - General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1986 - 1987,1986,1987,Closed,Withheld pending adv,2016-05-04 00:00:00
1511121,3107/40/87 PART 24,China - Relations with Japan,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1975 - 1976,1975,1976,Closed,33(2)(a) | 33(2)(b) | Withheld pending adv,2016-05-04 00:00:00
1512335,3103/11/87 PART 53,Japan - Relations with China,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1977 - 1977,1977,1977,Closed,Withheld pending adv,2016-05-04 00:00:00
3338480,1558/1/44 PART 19,International Court of Justice - Advisory opinions French Nuclear tests Australia vs France,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1973 - 1973,1973,1973,Closed,Withheld pending adv,2016-05-04 00:00:00
548733,3107/40/87 PART 5,China - Relations with Japan,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1971 - 1971,1971,1971,Closed,Withheld pending adv,2016-05-04 00:00:00
548753,3107/40/87 PART 21,China - Relations with Japan,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1974 - 1974,1974,1974,Closed,Withheld pending adv,2016-05-04 00:00:00
586404,3107/9/1 PART 1,China - Economic - Agriculture - General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1955 - 1963,1955,1963,Closed,Withheld pending adv,2016-05-04 00:00:00
548373,3127/1/1 PART 4,Korea - Internal General - Including Tours by Australian Representatives,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1972 - 1973,1972,1973,Closed,Withheld pending adv,2016-05-04 00:00:00
589324,175/1/1 PART 3,Israel - Internal - General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1971 - 1975,1971,1975,Closed,Withheld pending adv,2016-05-04 00:00:00
1753067,233/9/1 PART 10,Cuba - Relations with Australia,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1981 - 1983,1981,1983,Closed,Withheld pending adv,2016-05-16 00:00:00
1753068,233/9/1 PART 11,Cuba - Relations with Australia,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1983 - 1984,1983,1984,Closed,Withheld pending adv,2016-05-16 00:00:00
1753069,233/9/1 PART 13,Cuba - Relations with Australia,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1985 - 1985,1985,1985,Closed,Withheld pending adv,2016-05-16 00:00:00
